Licenses for third-party software included in this release.

Category,License,Dependency,Notes
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.chuusai # shapeless_2.13 # 2.3.7,
Apache,Apache 2 (https://www.apache.org/licenses/LICENSE-2.0),org.conscrypt # conscrypt-openjdk-uber # 2.1.0,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.objenesis # objenesis # 2.6,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.google.errorprone # error_prone_annotations # 2.2.0,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0),io.circe # circe-core_2.13 # 0.15.0-M1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0),io.circe # circe-generic_2.13 # 0.14.1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0),io.circe # circe-jawn_2.13 # 0.15.0-M1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0),io.circe # circe-numbers_2.13 # 0.15.0-M1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0),io.circe # circe-parser_2.13 # 0.14.1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0),io.circe # circe-refined_2.13 # 0.14.1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.typelevel # simulacrum-scalafix-annotations_2.13 # 0.5.4,
Apache,Apache 2.0 License (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.scala-logging # scala-logging_2.13 # 3.9.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.confluent # common-utils # 6.2.0,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.confluent # kafka-avro-serializer # 6.2.0,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.confluent # kafka-connect-avro-converter # 6.2.0,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.confluent # kafka-connect-avro-data # 6.2.0,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.confluent # kafka-schema-registry-client # 6.2.0,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.confluent # kafka-schema-serializer # 6.2.0,
Apache,Apache License v2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),net.java.dev.jna # jna # 5.3.1,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.jamesmurty.utils # java-xmlbuilder # 0.4,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",commons-beanutils # commons-beanutils # 1.9.4,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-codec # commons-codec # 1.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-collections # commons-collections # 3.2.2,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",commons-fileupload # commons-fileupload # 1.4,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",commons-validator # commons-validator # 1.6,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty # 3.10.6.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.bytebuddy # byte-buddy # 1.10.5,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.bytebuddy # byte-buddy-agent # 1.10.5,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",net.java.dev.jets3t # jets3t # 0.9.0,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.avro # avro # 1.10.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-compress # 1.20,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-lang3 # 3.4,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-lang3 # 3.7,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-annotations # 2.10.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-common # 2.10.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-mapreduce-client-core # 2.10.1,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpclient # 4.5.2,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpclient # 4.5.6,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore # 4.4.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore # 4.4.4,
